sl.no,Name,Symptoms,,,,,,
4,Basal Cell Carcinoma,"Basal Cell Carcinoma is a type of skin cancer. Basal Cell Carcinoma begins in the basal cells — a type of cell within the skin that produces new skin cells as old ones die off.Basal Cell Carcinoma often appears as a slightly transparent bump on the skin, though it can take other forms. Basal Cell Carcinoma occurs most often on areas of the skin that are exposed to the sun, such as your head and neck.Most Basal Cell Carcinomas are thought to be caused by long-term exposure to ultraviolet (UV) radiation from sunlight. Avoiding the sun and using sunscreen may help protect against Basal Cell Carcinoma.Basal Cell Carcinoma usually develops on sun-exposed parts of your body, especially your head and neck. Less often, Basal Cell Carcinoma can develop on parts of your body usually protected from the sun, such as the genitals. Basal Cell Carcinoma appears as a change in the skin, such as a growth or a sore that won't heal. ",,,,,,
4,Basal Cell Carcinoma,"Basal Cell Carcinoma (BCC) is the most common form of skin cancer and the most frequently occurring form of all cancers. In the U.S. alone, an estimated 3.6 million cases are diagnosed each year. BCCs arise from abnormal, uncontrolled growth of basal cells.Because BCCs grow slowly, most are curable and cause minimal damage when caught and treated early. Understanding BCC causes, risk factors and warning signs can help you detect them early, when they are easiest to treat and cure.BCC most often occurs when DNA damage from exposure to ultraviolet (UV) radiation from the sun or indoor tanning triggers changes in basal cells in the outermost layer of skin (epidermis), resulting in uncontrolled growth.BCCs can look like open sores, red patches, pink growths, shiny bumps, scars or growths with slightly elevated, rolled edges and/or a central indentation. At times, BCCs may ooze, crust, itch or bleed. The lesions commonly arise in sun-exposed areas of the body. ",,,,,,
4,Basal Cell Carcinoma,"Basal Cell Carcinoma (BCC) is a nonmelanocytic skin cancer (ie, an epithelial tumor) that arises from basal cells (ie, small, round cells found in the lower layer of the epidermis). [1, 2] The prognosis for patients with BCC is excellent, but if the disease is allowed to progress, it can cause significant morbidity. ",,,,,,
4,Basal Cell Carcinoma,"Basal Cell Carcinoma is the most common cutaneous malignancy, affecting close to one in five Americans. Although rarely fatal, Basal Cell Carcinoma can be highly destructive and disfigure local tissues when treatment is inadequate or delayed. This activity describes the risk factors, evaluation, and management of Basal Cell Carcinoma and highlights the role of the interprofessional team in enhancing care delivery for affected patients.",,,,,,
4,Basal Cell Carcinoma,"Basal Cell Carcinoma (BCC), previously known as basal cell epithelioma, is the most common cancer in Humans. BCC mostly arises on sun-damaged skin and rarely develops on the mucous membranes or palms and soles. Basal Cell Carcinoma is a slow-growing tumor for which metastases are rare. Although rarely fatal, BCC can be highly destructive and disfigure local tissues when treatment is inadequate or delayed. BCC usually appears as flesh- or pink-colored, pearly papules with overlying ulceration or telangiectatic vessels. BCC occurs on the head or neck in the majority of cases, but can involve the trunk and extremities.More than 26 different subtypes of BCC appear in the literature, the more common, distinctive, clinicopathologic types include: nodular, micronodular, superficial, morpheaform, infiltrative and fibroepithelial (also known as fibroepithelioma of Pinkus). Combinations of these types can occur as well. The majority of BCCs are amelanotic but few amounts of melanin may be present within these tumors.",,,,,,
4,Basal Cell Carcinoma,"Basal and squamous cell skin cancers are the most common types of skin cancer. They start in the top layer of skin (the epidermis), and are often related to sun exposure.Cancer starts when cells in the body begin to grow out of control. Cells in nearly any part of the body can become cancer cells.Basal Cell Carcinoma (also called basal cell skin cancer) is most common type of skin cancer. About 8 out of 10 skin cancers are Basal Cell Carcinomas (also called basal cell cancers).These cancers start in the basal cell layer, which is the lower part of the epidermisThese cancers usually develop on sun-exposed areas, especially the face, head, and neck. They tend to grow slowly. It’s very rare for a basal cell cancer to spread to other parts of the body. But if it's left untreated, basal cell cancer can grow into nearby areas and invade the bone or other tissues beneath the skin.If not removed completely, Basal Cell Carcinoma can come back (recur) in the same place on the skin. ",,,,,,
4,Basal Cell Carcinoma,"Basal Cell Carcinoma is a superficial, slowly growing papule or nodule that derives from certain epidermal cells. Basal Cell Carcinomas arise from keratinocytes near the basal layer, which are sometimes called basaloid keratinocytes. Metastasis is rare, but local growth can be highly destructive. Diagnosis is by biopsy. Treatment depends on the tumor’s characteristics and may involve curettage and electrodesiccation, surgical excision, cryosurgery, topical chemotherapy, or, occasionally, radiation therapy or drug therapy.Basal Cell Carcinoma is the most common type of skin cancer, with > 4 million new cases yearly in the United States. It is most common among fair-skinned people with a history of sun exposure and is very rare in darkly pigmented people.",,,,,,
4,Basal Cell Carcinoma,"Basal Cell Carcinoma (BCC) is a type of skin cancer that begins in the basal cells. Normal basal cells line the epidermis. They’re the skin cells that replace old cells with new ones. Cancer of the basal cells results in tumors that appear on the skin’s surface. These tumors often look like sores, growths, bumps, scars, or red patches.While BCC almost never spreads to other places in the body (metastasizes), it can still result in disfigurement. In rare cases, it can spread to other parts of the body. If it does, it can become life-threatening.BCC is the most common type of skin cancer. Approximately 4 million cases of it are diagnosed in the United States every year.Almost all BCCs develop on parts of the body frequently exposed to the sun. Tumors can develop on the face, ears, shoulders, neck, scalp, and arms. In very rare cases, tumors develop on areas not often exposed to sunlight.BCCs are typically painless. The only symptom is the growth or change in the appearance of the skin.",,,,,,
4,Basal Cell Carcinoma,"Basal Cell Carcinoma (BCC) is a common, locally invasive, keratinocyte cancer (also known as nonmelanoma cancer). It is the most common form of skin cancer. BCC is also known as rodent ulcer and basalioma. Patients with BCC often develop multiple primary tumours over time.The cause of BCC is multifactorial.",,,,,,
4,Basal Cell Carcinoma,"BCC develops in the basal cells, which are round skin cells that lie deep in the skin’s epidermis below the squamous cells. They form the base layer of the epidermis, which meets the dermis.BCC is unlikely to spread, but doctors who suspect that an individual has this type of carcinoma will still refer them for further assessment.Squamous cells make up most of the top layer of the skin, which people refer to as the epidermis. These cells are flat and scale-like.Doctors who suspect SCC will provide a more urgent referral, as it is more likely than BCC to spread.Exposure to ultraviolet (UV) radiation from sunlight is the primary cause of carcinoma and other skin cancers.Some people are more sensitive to UV light than others and are more vulnerable to the effects of sunlight on cancer development. Additional UV exposure from tanning beds and UV drying lamps in nail salons, for example, can also add to a person’s risk.UV radiation can cause damage to the DNA in skin cells, leading to mutations during cell .",,,,,,
4,Basal Cell Carcinoma,"Basal Cell Carcinoma (BCC) constitutes about 70% of keratinocyte tumors that comprise 90% of all malign skin diseases. [1],[2] The incidence of BCC is about 2000 cases per 100 000 population, and the morbidity varies depending on the geographic width and the patients' age, with growing tendency for individuals above 50 years of age. The risk for Caucasian race individual to develop BCC varies between 33 and 39% for men and 23 and 28% for women. The BCC affects mainly photoexposed areas, in about 80% of patients it appears in the head, and in half of them affects the skin of cheeks and the nose. [2] The other photoexposed areas such as the trunk and the limbs are less affected and in about 4% of patients lesions may appear on genitals and perianal area. [3] The tumor has slow progression and metastases are found in only 0.5% of the cases, [4] but it can result in considerable local destruction and disfigurement when treatment is neglected or inadequate. ",,,,,,
4,Basal Cell Carcinoma,"BCC is a type of skin cancer that may form in the basal cells of the skin. These cells are the ones that make new cells to replace the cells that die.It is the most common type of cancer in human beings. The number of new cases just in the United States is estimated to exceed 4 million each year.Basal Cell Carcinoma affects slightly more men than women. It occurs more often in older people. People with fair skin and light eyes are more likely to get BCC. It is 19 times more common in whites than blacks, but people of color may still be affected. People who have had BCC once are at higher risk for developing another lesion.What are the symptoms of Basal Cell Carcinoma (BCC)?Lumps or nodules on the skin that look shiny or that have visible blood vessels. The lumps can get bigger over time.Areas on the skin that look like scarsItchy patchesAreas of red or patchy skin that look like eczemaSores that look crusty, have a depression in the middle, or bleed often.BCC is treated by removing it. ",,,,,,
4,Basal Cell Carcinoma,"In the United States skin cancer is the most common malignant tumor. Basal Cell Cancer will affect one in five Americans. It is most often found on the face, neck, hands, or other parts of the body that have been exposed to the sun. The good news is detection is relatively simple and if found early, treatment is simple and usually successful.Basal Cell Carcinoma is also called basal cell epithelioma and basal cell cancer. This type of cancer can have many different appearances: a red patch or irritated area; a smooth, shiny and waxy looking bump; a white or yellow scar-like area; a smooth reddish growth; or an open sore that won't heal, bleeds or oozes. Not all growths on your skin are cancer. A dermatologist often has to take a biopsy to confidently diagnose skin cancer. Pigmented Basal Cell Carcinoma has brown or black pigmentation and may simulate melanoma.The usual cause of Basal cell cancer is chronic sun overexposure and sunburns. ",,,,,,
4,Basal Cell Carcinoma,"Small basal cell cancers, less than one half an inch, can be treated by many methods. Most commonly used is curettage and electrodesiccation (scraping away the tumor tissue and then destroying a thin surrounding layer with heat). Other commonly used treatments are surgical excision and cryosurgery (liquid nitrogen freezing using a temperature probe sometimes to ensure temperature of -50°C). Superficial Basal Cell Carcinomas can be treated with topical chemotherapy.Large or recurrent basal cell cancers are treated best with Mohs' surgery (a specialized type of microscopically controlled surgery). Radiation treatments and excision with skin grafting or surgical reconstruction can also be used. For Basal cells cancers that are in between, many methods can be used if properly selected. Overall, Moh's micrographic surgery offers the best cure rates with lowest recurrence rates.People with a Basal Cell Carcinoma have almost a 30% chance of developing another skin cancer in the next 5 years. ",,,,,,
4,Basal Cell Carcinoma,"Staging is the process of determining whether cancer has spread and, if so, how far. The stage of the disease may affect the treatment plan.The stage is based on the size of the tumor, how deeply into the skin it has grown, and whether cancer has spread beyond the tumor to the lymph nodes. Your doctor will look at the results of the biopsy to determine the stage. In rare cases, your doctor may recommend imaging such as CT or PET-CT scan to see if the cancer has spread beyond the skinStage 0. Cancer is found only in the original tumor in the skin. It is only in the epidermis and has not spread to the dermis. Stage 0 is also called carcinoma in situ.",,,,,,
4,Basal Cell Carcinoma,"Stage 1. The tumor is 2 centimeters wide or smaller. It may have spread into the dermis. Cancer does not invade the muscle, cartilage, or bone and has not spread to lymph nodes or other organs. The tumor needs to have no more than two high-risk features.",,,,,,
4,Basal Cell Carcinoma,"Stage 2. The tumor is larger than 2 centimeters and may have spread from the epidermis into the dermis. Cancer does not invade the muscle, cartilage, or bone and has not spread outside the skin. It may also have high risk features such as perineural invasion. Stage 2 tumors can also be any size with two or more high-risk features.",,,,,,
4,Basal Cell Carcinoma,"Stage 3. The cancer has spread to areas below the skin, such as into muscle, bone, cartilage, or lymph nodes, but only those near the original tumor. It has not spread to distant organs.",,,,,,
4,Basal Cell Carcinoma,"Stage 4. The cancer can be any size and may have spread to nearby lymph nodes. It has also spread to areas outside the skin, such as to distant organs like the brain or lungs, or has invaded the skeleton (axial or appendicular) or perineural invasion of skull base.",,,,,,
4,Basal Cell Carinoma,"Basal Cell Carcinoma (BCC) is a malignant epidermal carcinoma. BCC is the most common eyelid malignancy, accounting for overThe diagnosis of BCC can be suspected clinically and is confirmed histologically following biopsy. 90% of malignant eyelid neoplasms.Ultraviolet light induced damage to the epidermis.BCC tends to occur in lightly pigmented individuals at sites of sun exposure.",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid (BUL-us PEM-fih-goid) is a rare skin condition that causes large, fluid-filled blisters. They develop on areas of skin that often flex — such as the lower abdomen, upper thighs or armpits. Bullous pemphigoid is most common in older adults.Bullous pemphigoid occurs when your immune system attacks a thin layer of tissue below your outer layer of skin. The reason for this abnormal immune response is unknown, although it sometimes can be triggered by taking certain medications.",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid often presents in people over 80 years of age, and mostly affects people over 50. It can occur in younger adults, but bullous pemphigoid in infants and children is rare.Bullous pemphigoid occurs equally in males and females.There is an association with human leukocyte antigen (HLA) indicating a genetic predisposition to the disease.It is more prevalent in older patients with neurological disease, particularly stroke, dementia and Parkinson disease.The risk of developing bullous pemphigoid is greater in people with psoriasis, and it can be precipitated by treatment of psoriasis with phototherapy.There may be an association with internal malignancy in some patients.A drug, an injury, or skin infection can trigger the onset of disease.",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid is a rare skin condition that typically affects people in middle age and beyond. It causes a range of skin findings, from itchy, hive-like welts to large, fluid-filled blisters which can get infected.Bullous pemphigoid may affect a small area of the body or be widespread. The blisters usually occur on areas of the skin that are flexible, such as under the armpit or on the abdomen. About one-third of people with bullous pemphigoid develop blisters in their mouth, throat, and esophagus, in addition to their skin.Symptoms of bullous pemphigoid come and go. In most patients, the condition goes away within 5 years.Bullous pemphigoid occurs most often in people over age 60, but it can appear in younger individuals as well. It is seen more in the Western world; it is not common in the Far East. Both men and women are affected equally by bullous pemphigoid.Bullous pemphigoid occurs most often in people over age 60, but it can appear in younger individuals as well. ",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid is an autoimmune disorder. That means it occurs when the body’s own immune system attacks the layer of tissue below the top layer of skin. The reasons for this attack are not known, but bullous pemphigoid can sometimes be triggered by certain medications, including penicillamine.Bullous pemphigoid can present with itching, hive-like welts, and multiple blisters, called bullae. ",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid is most commonly treated with corticosteroids. These can be taken by mouth in addition to topically applied creams. Antibiotics or other anti-inflammatory medications may also be useful in mild cases. Severe cases may require the use of immunosuppressant medications.Oral corticosteroids can have serious side effects, so it is important to closely follow your doctor’s instructions. Be sure to alert him or her of any problems while taking the medication.Bullous pemphigoid usually goes away within 5 years, ",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid is an autoimmune pruritic skin disease preferentially in older people, aged over 60, that may involve the formation of blisters (bullae) in the space between the epidermal and dermal skin layers. The disorder is a type of pemphigoid. It is classified as a type II hypersensitivity reaction, with the formation of anti-hemidesmosome antibodies.Clinically, the earliest lesions may appear as a hives-like red raised rash, but could also appear dermatitic, targetoid, lichenoid, nodular, or even without a rash (essential pruritus).[1] Tense bullae eventually erupt, most commonly at the inner thighs and upper arms, but the trunk and extremities are frequently both involved.  Any part of the skin surface can be involved. Oral lesions are present in a minority of cases.",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid is a chronic, inflammatory, subepidermal, blistering disease. If untreated, it can persist for months or years, with periods of spontaneous remissions and exacerbations. The disease can be fatal, particularly in patients who are debilitated.Generalized bullous form: The most common presentation; tense bullae arise on any part of the skin surface, with a predilection for the flexural areas of the skin",,,,,,
5,bullous pemphigoid,"Pemphigoid is a rare autoimmune disorder that can develop at any age, including in kids, but that most often affects the elderly. Pemphigoid is caused by a malfunction of the immune system and results in skin rashes and blistering on the legs, arms, and abdomen.Pemphigoid can also cause blistering on the mucous membranes. Mucous membranes produce mucous that helps protect the inside of your body. Pemphigoid can be found on the mucous membranes in your eyes, nose, mouth, and genitals. It can also occur during pregnancy in some women.They appear as rashes and fluid-filled blisters. The types of pemphigoid differ in terms of where on the body the blistering occurs and when it occurs.",,,,,,
5,bullous pemphigoid,"in cases of bullous pemphigoid — the most common of the three types — the skin blistering happens most commonly on the arms and legs where movement occurs. This includes the areas around the joints and on the lower abdomen.Pemphigoid is an autoimmune disease. This means that your immune system mistakenly begins to attack your healthy tissues. In the case of pemphigoid, your immune system creates antibodies to attack the tissue just below your outer layer of skin. This causes the layers of skin to separate and results in painful blistering. It’s not fully understood why the immune system reacts this way in people living with pemphigoid.",,,,,,
5,bullous pemphigoid,"Pemphigoid is an autoimmune disease. This means that your immune system mistakenly begins to attack your healthy tissues. In the case of pemphigoid, your immune system creates antibodies to attack the tissue just below your outer layer of skin. This causes the layers of skin to separate and results in painful blistering. It’s not fully understood why the immune system reacts this way in people living with pemphigoid.People with other autoimmune disorders are found to be at a higher risk for developing pemphigoid. It’s also more common in the elderly than in any other age group, and seems to occur slightly more in women than men.",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid (BP) is a rare, autoimmune, chronic skin disorder characterized by blistering, urticarial lesions (hives) and itching. Less commonly these blisters can involve the mucous membranes including the eyes, oral mucosa, esophagus and genital mucosa. It typically presents in older adults as a generalized intensely itchy blistering skin condition.The first symptom of BP is usually redness and itching of the skin. Within weeks to months, thin-walled, tense blisters with clear fluid centers (bullae) appear on the arms and legs (flexor surfaces), in the armpits (axillae), on the abdomen, and/or in the skinfolds of the groin. Mucous membranes may also be involved but are less commonly seen than skin blisters.Bullous pemphigoid usually itches and in its early phase urticarial (hives) lesions may be present before blisters are noted.Bullous pemphigoid is an autoimmune blistering disease. Autoimmune disorders are generated when the body’s natural defenses against “foreign” or invading organisms.",,,,,,
5,bullous pemphigoid,"BP is a rare disorder that affects males and females in equal numbers. This disorder primarily affects the elderly, with an average age around 80 years old. Rare cases have been reported in infants and adolescents.Recently, researchers have learned of an association between BP and neurological disorders. It is reported that between a third to a half of all BP patients have neurological diseases, such as dementia, Parkinson’s disease, stroke, epilepsy, and multiple sclerosis. These conditions normally occur before the onset of BP.",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid (BP) is a chronic blistering of the skin. It ranges from mildly itchy welts to severe blisters and infection, and may affect a small area of the body or be widespread. The vast majority of those affected are elderly, but it has been seen at all ages.t is an autoimmune disorder, meaning it is caused when the body's immune system malfunctions. The immune system is meant to defend the body against bacteria, viruses, and disease, but instead produces antibodies against healthy tissue, cells and organs. ",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid (BP) is the most common autoimmune subepidermal blistering disorder, representing 80% of subepidermal immunobullous cases. Bullous pemphigoid most commonly affects elderly patients between the ages of 60 to 80 years. This activity reviews the etiology, presentation, evaluation, and management of bullous pemphigoid and reviews the interprofessional team's role in evaluating, diagnosing, and managing the condition.Bullous pemphigoid (BP) is the most common autoimmune subepidermal blistering disorder, representing 80% of subepidermal immunobullous cases.[1] Bullous pemphigoid most commonly affects elderly patients between the ages of 60 to 80 years. While the clinical presentation of bullous pemphigoid is broad, the immunobullous skin disorder characteristically presents with tense bullae and intense generalized pruritus. In atypical cases, bullous lesions may be absent, and these cases require a high degree of clinical suspicion. ",,,,,,
5,bullous pemphigoid,"Pruritus is the first symptom of bullous pemphigoid. Skin lesions may not develop for several years. Often, characteristic tense bullae develop on skin of the trunk and in the flexural and intertriginous areas. Bullae may develop on normal-appearing skin or may be preceded by erythematous or urticarial-appearing plaques. Localized disease may occur at trauma sites, stomas, and anogenital and lower leg areas. Bullae usually do not rupture, but those that do often rapidly heal.Polymorphic, annular, dusky-red, edematous lesions, with or without peripheral vesicles, can occur. Rarely, small blisters develop on the mucosa. Leukocytosis and eosinophilia are common, but fever is rare. The Nikolsky sign, where upper layers of epidermis move laterally with slight pressure or rubbing of skin adjacent to a blister, is negative.",,,,,,
5,bullous pemphigoid,"If bullous pemphigoid is suspected, skin biopsy is done for histology and direct immunofluorescence testing. Samples from in and around the lesion itself are often used for histology, but samples of uninvolved skin (often about 3 mm from the edge of a lesion) are used for direct immunofluorescence. The blister in bullous pemphigoid is subepidermal, often containing many neutrophils and eosinophils. Direct immunofluorescence shows linear IgG and complement deposits along the basement membrane zone (dermal–epidermal junction). Indirect immunofluorescence shows circulating IgG deposits on the epidermal side of a salt-split preparation of normal (ie, test substrate) skin.Bullous pemphigoid is a chronic, potentially fatal disease, particularly without treatment. Although topical and systemic therapies are helpful, they may cause adverse effects.Treatment of Bullous Pemphigoid Corticosteroids, topical or oralAnti-inflammatory drugsImmunosuppressant drugs or biologics",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid (BP) is a relatively common autoimmune vesicobullous disease encountered in India. It is a subepidermal bullous disorder most commonly seen in the elderly and manifests as tense blisters on urticarial base, predominantly over flexures, and is associated with pruritus. The diagnosis can be confirmed by histology, direct and indirect immunofluorescence. Several new diagnostic techniques have also been developed. Treatment of BP is based on the extent and rate of progression of the disease. Several topical and systemic anti-inflammatory and immunosuppressive agents have been used with variable results.",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid (BP) is a subepidermal blistering skin disease that usually occurs in the elderly population and is characterized by large tense blisters with immunopathological findings of linear deposits of C3 and IgG at the basement membrane zone.Little is known about the epidemiology of BP. Previous studies have reported incidence between 0.2 and 3 per 100,000 person years. [1] In UK, a regional study estimated an incidence of 1.4 per 100,000 person years. Epidemiological data from India are lacking. Pemphigus vulgaris is more commonly encountered than BP in India.It primarily affects elderly individuals in the fifth to seventh decade of life, with average age of onset being 65 years. BP in childhood has been reported from various countries including India. [2] There is no known ethnic, racial, or sexual predilection.",,,,,,
5,bullous pemphigoid,"BP may present with several distinct clinical presentations and the onset may be either subacute or acute. The characteristic skin lesion is a large tense blister arising on erythematous base or on normal skin. These lesions are most common in the lower abdomen, inner or anterior thighs and flexor forearms, although they may occur anywhere. The bullae are usually filled with clear fluid but may be hemorrhagic. Significant pruritus is frequently present. In some patients, blisters arise after persistent urticarial lesions, and in some, urticarial lesions are the sole manifestations of the disease. Oral and ocular mucosal involvement rarely occurs. The bullae usually heal with post-inflammatory pigmentary changes and there is no scarring or milia formation.",,,,,,
5,bullous pemphigoid,"Bullous pemphigoid is a skin disease that causes blisters. It mainly affects people aged over 70. Treatment usually works well to control symptoms. Treatment is usually with steroid creams or medicines, but sometimes other medicines may be used. The condition tends to go away after 1-5 years and then treatment can be stopped. Sometimes the disease persists and treatment is needed long-termBullous pemphigoid is rare. In the UK it is estimated that between 4-5 people in 100,000 develop it each year. Most people with bullous pemphigoid are aged over 70. It is very rare in children. It can come on in pregnancy, when it is called gestational pemphigoid and requires careful management by a dermatologist and an obstetrician together. Bullous pemphigoid is not infectious and you cannot catch it from an affected person. Bullous pemphigoid is an autoimmune disease. The immune system normally makes antibodies to attack bacteria, viruses, and other germs.",,,,,,
6,Lyme Disease,"Lyme disease, also known as Lyme borreliosis, is an infectious disease caused by the Borrelia bacterium which is spread by ticks. The most common sign of infection is an expanding red rash, known as erythema migrans, that appears at the site of the tick bite about a week after it occurred.The rash is typically neither itchy nor painful.Approximately 70–80% of infected people develop a rash.[1] Other early symptoms may include fever, headache and tiredness.[1] If untreated, symptoms may include loss of the ability to move one or both sides of the face, joint pains, severe headaches with neck stiffness, or heart palpitations, among others.[1] Months to years later, repeated episodes of joint pain and swelling may occur.[1] Occasionally, people develop shooting pains or tingling in their arms and legs.[1] Despite appropriate treatment, about 10 to 20% of people develop joint pains, memory problems, and tiredness for at least six months.",,,,,,
6,Lyme Disease,"Lyme disease is the most common vector-borne disease in the United States. Lyme disease is caused by the bacterium Borrelia burgdorferi and rarely, Borrelia mayonii. It is transmitted to humans through the bite of infected blacklegged ticks. Typical symptoms include fever, headache, fatigue, and a characteristic skin rash called erythema migrans. If left untreated, infection can spread to joints, the heart, and the nervous system. Lyme disease is diagnosed based on symptoms, physical findings (e.g., rash), and the possibility of exposure to infected ticks. Laboratory testing is helpful if used correctly and performed with validated methods. Most cases of Lyme disease can be treated successfully with a few weeks of antibiotics. Steps to prevent Lyme disease include using insect repellent, removing ticks promptly, applying pesticides, and reducing tick habitat. The ticks that transmit Lyme disease can occasionally transmit other tickborne diseases as well.",,,,,,
6,Lyme Disease,"Lyme disease is caused by bacteria, Borrelia burgdorferi that are transmitted to humans through a bite from an infected black-legged or deer tick. Symptoms can occur anywhere from 3 to 30 days after the bite and can be wide-ranging, depending on the stage of the infection. In some cases, symptoms can appear months after the bite.The chances you might get Lyme disease from a tick bite depend on the kind of tick, where you were when the bite occurred, and how long the tick was attached to you, the CDC says. Black-legged ticks must be attached to you for 36 to 48 hours to transmit Lyme disease. Early signs and symptoms include fever, chills, headache, fatigue, muscle and joint pain, and swollen lymph nodes -- all common in the flu. In up to 80% of Lyme infections, a rash is one of the first symptoms.",,,,,,
6,Lyme Disease,"Lyme disease is an infectious disease caused by the bacteria Borrelia burgdorferi. B. burgdorferi is transmitted to humans by a bite from an infected black-legged or deer tick. The tick becomes infected after feeding on infected deer, birds, or mice.A tick has to be present on the skin for at least 36 hours to transmit the infection. Many people with Lyme disease have no memory of a tick bite.Lyme disease was first recognized in the town of Old Lyme, Connecticut, in 1975. It’s the most common tickborne illness in Europe and the United States.People who live or spend time in wooded areas known for transmission of the disease are more likely to get this illness. People with domesticated animals that visit wooded areas also have a higher risk of getting Lyme disease.",,,,,,
6,Lyme Disease,"There is no evidence that Lyme disease is contagious between people. Also, according to the Centers for Disease Control and Prevention (CDC)Trusted Source, pregnant women cannot transmit the disease to their fetus through their breast milk.Lyme disease is an infection caused by bacteria transmitted by blacklegged deer ticks. These bacteria are found in bodily fluids, but there’s no evidence that Lyme disease can be spread to another person through sneezing, coughing, or kissing.There is also no evidence that Lyme disease can be sexually transmitted or transmitted through a blood transfusion.Learn more about whether Lyme disease is contagious.Diagnosing Lyme disease begins with a review of your health history, which includes looking for reports of tick bites or residence in an endemic area.",,,,,,
6,Lyme Disease,"Lyme disease is caused by four main species of bacteria. Borrelia burgdorferi and Borrelia mayonii cause Lyme disease in the United States, while Borrelia afzelii and Borrelia garinii are the leading causes in Europe and Asia. The most common tick-borne illness in these regions, Lyme disease is transmitted by the bite of an infected black-legged tick, commonly known as a deer tick.A small, red bump, similar to the bump of a mosquito bite, often appears at the site of a tick bite or tick removal and resolves over a few days. This normal occurrence doesn't indicate Lyme disease.Only a minority of tick bites leads to Lyme disease. The longer the tick remains attached to your skin, the greater your risk of getting the disease. Lyme infection is unlikely if the tick is attached for less than 36 to 48 hours.",,,,,,
6,Lyme Disease,"In the United States, Lyme disease is caused by the bacteria Borrelia burgdorferi and Borrelia mayonii, carried primarily by black-legged or deer ticks. Young brown ticks often are no bigger than a poppy seed, which can make them nearly impossible to spot.To contract Lyme disease, an infected deer tick must bite you. The bacteria enter your skin through the bite and eventually make their way into your bloodstream.In most cases, to transmit Lyme disease, a deer tick must be attached for 36 to 48 hours. If you find an attached tick that looks swollen, it may have fed long enough to transmit bacteria. Removing the tick as soon as possible might prevent infection.",,,,,,
6,Lyme Disease,"The best way to prevent Lyme disease is to avoid areas where deer ticks live, especially wooded, bushy areas with long grass. You can decrease your risk of getting Lyme disease with some simple precautions:Cover up. When in wooded or grassy areas, wear shoes, long pants tucked into your socks, a long-sleeved shirt, a hat and gloves. Try to stick to trails and avoid walking through low bushes and long grass. Keep your dog on a leash.Use insect repellents. Apply insect repellent with a 20% or higher concentration of DEET to your skin. Parents should apply repellant to their children, avoiding their hands, eyes and mouth.Keep in mind that chemical repellents can be toxic, so follow directions carefully. Apply products with permethrin to clothing or buy pretreated clothing.Do your best to tick-proof your yard. Clear brush and leaves where ticks live. Mow your lawn regularly. Stack wood neatly in dry, sunny areas to discourage rodents that carry ticks.",,,,,,
6,Lyme Disease,"Lyme disease is the most common tick-borne infectious disease in the United States. The ticks pick up Borrelia burgdorferi bacteria from mice and deer and pass the bacteria to humans through their bites.At first, a rash may appear, and it may fade awayTrusted Source without treatment. In time, Lyme disease complications can affect the joints, heart, and nervous system.The Centers for Disease Control and Prevention (CDC) registered 23,558Trusted Source confirmed cases of Lyme disease in 2018. The highest rate was in Pennsylvania.",,,,,,
6,Lyme Disease,"Lyme disease is caused by bacteria called Borrelia burgdorferi (B burgdorferi). Blacklegged ticks (also called deer ticks) can carry these bacteria. Not all species of ticks can carry these bacteria. Immature ticks are called nymphs, and they are about the size of a pinhead. Nymphs pick up bacteria when they feed on small rodents, such as mice, infected with B burgdorferi. You can only get the disease if you are bitten by an infected tick.Lyme disease was first reported in the United States in 1977 in the town of Old Lyme, Connecticut. The same disease occurs in many parts of Europe and Asia. In the United States, most Lyme disease infections occur in the following areas:Northeastern states, from Virginia to MaineNorth-central states, mostly in Wisconsin and MinnesotaWest Coast, mainly in the northwest",,,,,,
6,Lyme Disease,"Lyme disease is medically described as occurring in three phases, each with distinctive symptoms. The first phase is early localized disease, which occurs three to 30 days after the tick bite that transmitted the infection. This stage is characterized by skin inflammation. The rash that occurs is referred to as erythema migrans. It develops in about 70% of people who get Lyme disease. It starts at the site of the tick bite and expands over the next several days. It can eventually cover an area up to about 12 inches across. Some of the area may clear, giving the rash at times a bull's-eye appearance.",,,,,,
